CA_code,VA_code,estimate,ASE,flag
C03B,V03B,74.1,4,
C03C,V03B,81,3.5,
C03D,V03B,86.6,3.6,
C03E,V03B,86.3,4.4,
C03F,V03B,90.6,3.7,
C03G,V03B,91.4,3.7,
C03A,V03C,27.5,6.3,
C03B,V03C,21.9,5.1,
C03C,V03C,27.5,4.6,
C03D,V03C,32.9,5.4,
C03E,V03C,37.4,4.6,
C03F,V03C,41.3,5.2,
C03G,V03C,33.4,5.9,
C03A,V04A,29.9,6.4,
C03B,V04A,16.6,4.2,
C03C,V04A,13.1,3.5,
C03D,V04A,14.5,3.3,
C03E,V04A,10.4,3.3,*
C03F,V04A,13.5,3.2,
C03G,V04A,17.2,5.7,*
C03A,V04B,5.8,4.3,**
C03B,V04B,3.6,2,**
C03C,V04B,3.3,1.7,**
C03D,V04B,1,0.8,**
C03E,V04B,2.6,1.5,**
C03F,V04B,S,,
C03G,V04B,S,,
C03A,V04C,8.3,3.4,*
C03B,V04C,4.8,2,*
C03C,V04C,5.6,2.8,**
C03D,V04C,3.2,1.5,*
C03E,V04C,1.9,1.2,**
C03F,V04C,2.9,2,**
C03G,V04C,1.9,1.5,**
C03A,V04D,55.9,7.2,
C03B,V04D,75.1,4.4,
C03C,V04D,78.1,4.1,
C03D,V04D,81.4,3.4,
C03E,V04D,85.2,3.8,
C03F,V04D,82.7,4.4,
C03G,V04D,80.7,5.7,
C03A,V05A,61.2,6,
C03B,V05A,63,5.6,
C03C,V05A,59.7,5.5,
C03D,V05A,67.3,4.5,
C03E,V05A,59.5,5.4,
C03F,V05A,62.7,5.1,
C03G,V05A,53.2,6.4,
C03A,V05B,7.3,3,*
C03B,V05B,7.7,3,*
C03C,V05B,5,2.2,*
C03D,V05B,3.5,1.7,*
C03E,V05B,4.7,1.7,*
C03F,V05B,4.3,2.3,**
C03G,V05B,1.9,1.2,**
C03A,V05C,5.9,2.9,**
C03B,V05C,4.5,2.2,*
C03C,V05C,6.1,2.7,*
C03D,V05C,5,1.8,*
C03E,V05C,5.7,3.3,**
C03F,V05C,2.4,1.8,**
C03G,V05C,3.7,2.1,**
C03A,V05D,25.6,5.1,
C03B,V05D,24.8,4.4,
C03C,V05D,29.2,5.4,
C03D,V05D,24.2,4.2,
C03E,V05D,30.1,4.8,
C03F,V05D,30.5,4.8,
C03G,V05D,41.3,6.2,
C03A,V06A,37.1,6.5,
C03B,V06A,35.6,4.4,
C03C,V06A,32.2,4.5,
C03D,V06A,27.7,4.7,
C03E,V06A,19.7,4.4,
C03F,V06A,19,3.4,
C03G,V06A,12,4.5,*
C03A,V06B,10.8,3.6,*
C03B,V06B,7.7,3,*
C03C,V06B,10.7,3.1,
C03D,V06B,5.6,2.7,*
C03E,V06B,3,1.7,**
C03F,V06B,1.5,1.1,**
C03G,V06B,S,,
C03A,V06C,7,2.9,*
C03B,V06C,6.3,2.8,*
C03C,V06C,6.8,2.8,*
C03D,V06C,5.3,2.3,*
C03E,V06C,5.1,2.6,**
C03F,V06C,3.7,2.2,**
C03G,V06C,2.4,2.1,**
C03A,V06D,45.1,6.8,
C03B,V06D,50.4,5,
C03C,V06D,50.3,4.7,
C03D,V06D,61.4,5.1,
C03E,V06D,72.3,4.6,
C03F,V06D,75.8,3.5,
C03G,V06D,83.8,5,
C03A,V07A,13.4,3.9,
C03B,V07A,5,2.1,*
C03C,V07A,3.9,1.9,**
C03D,V07A,5,2.4,*
C03E,V07A,3.1,1.7,**
C03F,V07A,5.1,2,*
C03G,V07A,4.2,2.5,**
C03A,V07B,2.4,2,**
C03B,V07B,2.3,1.8,**
C03C,V07B,0.7,0.6,**
C03D,V07B,S,,
C03E,V07B,1.6,1.3,**
C03F,V07B,S,,
C03G,V07B,S,,
C03A,V07C,5.8,3.4,**
C03B,V07C,1.8,1.5,**
C03C,V07C,1.5,0.9,**
C03D,V07C,3,1.8,**
C03E,V07C,2.2,1.2,**
C03F,V07C,1.9,1.3,**
C03G,V07C,S,,
C03A,V07D,78.5,5.3,
C03B,V07D,91,3,
C03C,V07D,93.9,2,
C03D,V07D,91,3.3,
C03E,V07D,93.1,2.3,
C03F,V07D,92.4,2.3,
C03G,V07D,94.5,2.6,
C03A,V08A,13.5,4.2,*
C03B,V08A,4.7,1.7,*
C03C,V08A,3,1.7,**
C03D,V08A,5.2,2.3,*
C03E,V08A,1.3,1,**
C03F,V08A,4.4,2.4,**
C03G,V08A,4.5,2.3,**
C03A,V08B,5.5,3,**
C03B,V08B,2.4,1.6,**
C03C,V08B,1.9,1.7,**
C03D,V08B,0.9,0.8,**
C03E,V08B,0.4,0.5,***
C03F,V08B,0.9,0.8,**
C03G,V08B,S,,
C03A,V08C,5.9,2.4,*
C03B,V08C,3.8,2.3,**
C03C,V08C,3.3,1.7,**
C03D,V08C,3.5,2,**
C03E,V08C,2,1.4,**
C03F,V08C,2.9,1.8,**
C03G,V08C,1.5,1.7,***
C03A,V08D,75.1,4.6,
C03B,V08D,89.1,3.2,
C03C,V08D,91.7,2.6,
C03D,V08D,90.5,3.2,
C03E,V08D,96.2,1.7,
C03F,V08D,91.8,2.9,
C03G,V08D,92.2,3.2,
C03A,V09A,10.3,4.1,*
C03B,V09A,7.9,2.8,*
C03C,V09A,9.3,2.6,
C03D,V09A,11.3,3,
C03E,V09A,10.6,2.6,
C03F,V09A,18.2,4,
C03G,V09A,16.3,4.1,
C03A,V09B,4.1,2.2,**
C03B,V09B,2.9,1.4,*
C03C,V09B,2.4,1.5,**
C03D,V09B,2,1.5,**
C03E,V09B,1.3,0.9,**
C03F,V09B,1.7,1.5,**
C03G,V09B,1.8,1.6,**
C03A,V09C,7.8,3.9,**
C03B,V09C,6.3,3.1,*
C03C,V09C,5.9,2.4,*
C03D,V09C,4.4,2,*
C03E,V09C,5.1,1.8,*
C03F,V09C,2.3,1.2,**
C03G,V09C,2.9,2.3,**
C03A,V09D,77.9,6,
C03B,V09D,82.9,4.3,
C03C,V09D,82.4,3.3,
C03D,V09D,82.3,3.8,
C03E,V09D,83,3,
C03F,V09D,77.8,4.3,
C03G,V09D,79,4.6,
C03A,V10A,12.8,4,*
C03B,V10A,8.1,2.7,*
C03C,V10A,7.4,2.5,*
C03D,V10A,11.1,3.4,*
C03E,V10A,5.4,1.9,*
C03F,V10A,6.5,2.4,*
C03G,V10A,1.9,1.5,**
C03A,V10B,6.5,3.5,**
C03B,V10B,4.3,2.5,**
C03C,V10B,2.6,1.8,**
C03D,V10B,2.5,1.7,**
C03E,V10B,0.8,0.8,***
C03F,V10B,2,1.6,**
C03G,V10B,S,,
C03A,V10C,9.5,3.9,*
C03B,V10C,5,2.6,**
C03C,V10C,5.5,2.2,*
C03D,V10C,5.7,2.3,*
C03E,V10C,5,3,**
C03F,V10C,3.4,1.7,**
C03G,V10C,2.5,2.1,**
C03A,V10D,71.3,6.8,
C03B,V10D,82.6,3.6,
C03C,V10D,84.5,3.8,
C03D,V10D,80.8,4,
C03E,V10D,88.9,3.4,
C03F,V10D,88.1,3.2,
C03G,V10D,94.5,3.3,
C03A,V11A,39,6.6,
C03B,V11A,29.7,5.5,
C03C,V11A,37.6,4.7,
C03D,V11A,34,4.7,
C03E,V11A,35,5.4,
C03F,V11A,33.9,4.9,
C03G,V11A,29.7,6,
C03A,V11B,8.1,6.3,**
C03B,V11B,3.4,2.9,**
C03C,V11B,3.7,2.8,**
