,Title,Release.Date,Primary.Genre,Actors,acum_real
196,Pride & Prejudice,02/10/2006,Drama,"Brenda Blethyn, Donald Sutherland, Judi Dench, Keira Knightley, Matthew Macfadyen, Rosamund Pike",9222733.0
201,Fever Pitch (2005),10/21/2005,Comedy,"Brandon Craggs, Drew Barrymore, Ione Skye, Jimmy Fallon, KaDee Strickland, Lenny Clarke, Marissa Jaret Winokur, Miranda Black",17099697.0
202,Doom,11/25/2005,Action,"Ben Daniels, Deobia Oparei, Doug Jones, Dwayne Johnson, Karl Urban, Rosamund Pike",10087156.0
207,Jarhead,01/06/2006,Drama,"Chris Cooper, Jake Gyllenhaal, Jamie Foxx, Lucas Black, Peter Sarsgaard",15644470.0
208,War Of The Worlds,06/29/2005,Science Fiction,"Amy Ryan, Channing Tatum, Columbus Short, Dakota Fanning, Daniel Franzese, David Alan Basche, James DuMont, Justin Chatwin, Miranda Otto, Tim Robbins, Tom Cruise, Ty Simpkins, Yul Vazquez",161446202.0
210,Mar Adentro,02/18/2005,Drama,"Belen Rueda, Javier Bardem, Lola Due̱as, Mabel Rivera",21088964.9999999
212,Rumor Has It,02/10/2006,Comedy,"Jennifer Aniston, Kathy Bates, Kevin Costner, Mark Ruffalo, Mike Vogel, Richard Jenkins, Shirley MacLaine",22867380.0
213,Tim Burton's Corpse Bride,10/21/2005,Animation,"Albert Finney, Christopher Lee, Emily Watson, Helena Bonham Carter, Johnny Depp, Richard E. Grant",67752234.9999999
215,Nanny McPhee,04/07/2006,Comedy,"Angela Lansbury, Celia Imrie, Colin Firth, Derek Jacobi, Emma Thompson, Imelda Staunton, Kelly Macdonald, Kelly MacDonald, Thomas Brodie-Sangster, Thomas Sangster",19407795.0
216,Born Into Brothels,10/28/2005,Documentary,,458789.999999999
217,Lords Of Dogtown,10/07/2005,Drama,"America Ferrera, Charles Napier, Emile Hirsch, Heath Ledger, Joel McHale, John Robinson, Michael Angarano, Nikki Reed, Sofia Vergara, Victor Rasuk",888450.0
218,"Weather Man, The",03/10/2006,Drama,"Gemmenne De La Pena, Gil Bellows, Hope Davis, Michael Caine, Michael Rispoli, Nicholas Hoult, Nicolas Cage",3397266.0
219,Cronicas,04/21/2006,Drama,"Alfred Molina, Damian Alcazar, John Leguizamo",4272193.99999999
221,George A. Romero's Land Of The Dead,07/15/2005,Horror,"Asia Argento, Dennis Hopper, Devon Bostick, Eugene Clark, Joanne Boland, John Leguizamo, Robert Joy, Simon Baker, Tom Savini",8890490.00000001
222,Barnyard: The Original Party Animals,10/27/2006,Animation,"Courteney Cox Arquette, Danny Glover, David Koechner, Kevin James, Megan Cavanagh, Sam Elliott, Wanda Sykes",50858841.000000104
224,Comme une Image,06/23/2006,Drama,"Agn̬s Jaoui, Jean-Pierre Bacri, Keine Bouhiza, Laurent Gr̩vill, Marilou Berry, Virginie Desarnauts",451917.0
225,Open Season,10/07/2006,Animation,"Ashton Kutcher, Billy Connolly, Debra Messing, Gary Sinise, Jane Krakowski, Jon Favreau, Martin Lawrence",83718864.6400001
226,"Island, The (2005)",08/10/2005,Science Fiction,"Ewan McGregor, Glenn Morshower, Scarlett Johansson, Sean Bean, Shawnee Smith, Steve Buscemi, Yvette Nicole Brown",62199454.0000001
231,Zathura,12/25/2005,Adventure,"Dax Shepard, Jonah Bobo, Josh Hutcherson, Kristen Stewart, Tim Robbins",48066560.999999896
235,"Dukes Of Hazzard, The",08/26/2005,Comedy,"Burt Reynolds, David Koechner, Jessica Simpson, Johnny Knoxville, Lara Grice, Seann William Scott, Willie Nelson",19348128.0
236,Must Love Dogs,09/16/2005,Romantic Comedy,"Bobby Coleman, Christopher Plummer, Diane Lane, Elizabeth Perkins, John Cusack",10825344.0
237,Rent (2005),04/28/2006,Musical,"Adam Pascal, Anthony Rapp, Idina Menzel, Jesse L. Martin, Rosario Dawson, Sarah Silverman, Taye Diggs, Tracie Thoms, Wilson Jermaine Heredia",1492737.0
241,Surf's Up,08/10/2007,Animation,"Brian Benben, Dana Belben, James Woods, Jane Krakowski, Jeff Bridges, Jon Heder, Mario Cantone, Michael McKean, Shia LaBeouf, Zooey Deschanel",63194440.61
244,5 x 2 (Cinq Fois Deux),05/12/2006,Drama,"Antoine Chappey, Fran̤oise Fabian, G̩raldine Pailhas, Marc Ruchmann, Michael Lonsdale, St̩phane Freiss, Valeria Bruni Tedeschi",1266783.0
245,Palindromes,01/19/2007,Drama,"Debra Monk, Ellen Barkin, Emani Sledge, Jennifer Jason Leigh, Richard Masur, Sharon Wilkins, Stephen Adly-Guirgis, Valerie Shusterov",120166.0
246,Rois et reine,10/13/2006,Drama,"Catherine Deneuve, Emanuelle Devos, Mathieu Almaric, Valentin Lelong",292072.0
249,Exorcism Of Emily Rose,11/11/2005,Drama,"Campbell Scott, Colm Feore, Jennifer Carpenter, Laura Linney, Mary Beth Hurt, Shohreh Aghdashloo, Tom Wilkinson",77427582.0000001
